Year,Ward Code,Ward Name,Ward Zone,Issue Type,Sub Issue,Total Complaints,Complaints Closed,Complaints Open Pending,Closure Rate Pct,Avg Days To Resolve,Citizen Charter Days,Days Exceeded Charter,Escalation Level Reached,Data Source
2015,A,Colaba / Churchgate / Fort,City,Roads,Bad Patches / Potholes,378,336,42,88.9,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Roads,Resurfacing of Road,153,135,18,88.2,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Roads,Broken Footpath,79,70,9,88.6,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Drainage,Drainage Choke / Blockage,139,115,24,82.7,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Drainage,Overflow / Flooding,76,63,13,82.9,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Drainage,Leaking Sewer Line,38,31,7,81.6,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Solid Waste Mgmt,Garbage Not Lifted,59,48,11,81.4,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Solid Waste Mgmt,Illegal Dumping / Debris,28,22,6,78.6,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Solid Waste Mgmt,Waste Burning,12,10,2,83.3,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Water Supply,Shortage of Water,69,59,10,85.5,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Water Supply,Water Contamination,22,19,3,86.4,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Water Supply,Leaking Water Pipeline,45,39,6,86.7,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Water Supply,Unauthorised Water Tapping,20,18,2,90.0,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Air Pollution,Construction Dust / Debris,5,5,0,100.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Air Pollution,Industrial Smoke / Emissions,4,4,0,100.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Street Lights,Street Light Not Working,59,55,4,93.2,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Trees,Tree Trimming Required,16,14,2,87.5,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Trees,Fallen / Dangerous Tree,7,6,1,85.7,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Buildings,Illegal Construction,19,11,8,57.9,35,30,5,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,A,Colaba / Churchgate / Fort,City,Toilets / Sanitation,Public Toilet Not Functional,16,13,3,81.2,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Roads,Bad Patches / Potholes,398,353,45,88.7,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Roads,Resurfacing of Road,161,142,19,88.2,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Roads,Broken Footpath,84,74,10,88.1,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Drainage,Drainage Choke / Blockage,146,121,25,82.9,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Drainage,Overflow / Flooding,80,66,14,82.5,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Drainage,Leaking Sewer Line,40,33,7,82.5,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Solid Waste Mgmt,Garbage Not Lifted,63,50,13,79.4,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Solid Waste Mgmt,Illegal Dumping / Debris,29,24,5,82.8,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Solid Waste Mgmt,Waste Burning,13,10,3,76.9,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Water Supply,Shortage of Water,72,62,10,86.1,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Water Supply,Water Contamination,23,20,3,87.0,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Water Supply,Leaking Water Pipeline,48,41,7,85.4,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Water Supply,Unauthorised Water Tapping,21,18,3,85.7,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Air Pollution,Construction Dust / Debris,6,5,1,83.3,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Air Pollution,Industrial Smoke / Emissions,5,4,1,80.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Street Lights,Street Light Not Working,62,58,4,93.5,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Trees,Tree Trimming Required,17,15,2,88.2,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Trees,Fallen / Dangerous Tree,7,6,1,85.7,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Buildings,Illegal Construction,20,12,8,60.0,35,30,5,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,B,Mandvi / Masjid Bunder,City,Toilets / Sanitation,Public Toilet Not Functional,16,14,2,87.5,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Roads,Bad Patches / Potholes,438,389,49,88.8,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Roads,Resurfacing of Road,177,157,20,88.7,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
